id,description
1,all defendants
10,white defendants
11,African American defendants
12,Hispanic / Latino defendants
13,Native American or Alaskan defendants
14,Asian or Pacific Islander defendants
15,defendants of color
16,defendants of unknown race / ethnicity
20,male defendants
21,female defendants
22,defendants of unknown sex
30,non-indigent defendants
31,indigent defendants
32,defendants of unknown indigent status
40,defendants under age 18
41,defendants age 18 to 25
42,defendants age 26 to 35
43,defendants age 36 to 45
44,defendants age 46 to 65
45,defendants over age 65
46,defendants of unknown age group
50,defendants who self-represented
51,defendants represented by private attorney
52,defendants represented by public defender
53,defendants represented by a court-appointed private attorney
54,defendants represented by other attorney type
55,defendants represented by an attorney of unknown type
60,defendants with no drug charges
61,defendants with drug paraphernalia related charges
62,defendants with other/unspecified drug offense charges
63,defendants with possession/use of unspecified drug charges
64,defendants with marijuana possession/use charges
65,defendants with other drug possession/use charges
66,defendants with other prescription drug possession/use charges
67,defendants with opioid drug possession/use charges
7100,defendants charged with a violent offense
7101,defendants charged with a property offense
7102,defendants charged with a drug offense
7103,defendants charged with a DUI offense
7104,defendants charged with public order offense
7105,defendants charged with a criminal traffic offense
7106,defendants charged with other offense
7199,defendants charged with an offense of unknown
7200,defendants charged with a nonviolent misdemeanor
7201,defendants charged with a violent misdemeanor
7202,defendants charged with a nonviolent felony
7203,defendants charged with a violent felony
7299,defendants charged with an offense of unknown severity
8100,defendants charged with a violent offense
8101,defendants charged with a property offense
8102,defendants charged with a drug offense
8103,defendants charged with a DUI offense
8104,defendants charged with a public order offense
8105,defendants charged with a criminal traffic offense
8106,defendants charged with other offense
8199,defendants charged with an offense of unknown
8200,defendants charged with a nonviolent misdemeanor
8201,defendants charged with a violent misdemeanor
8202,defendants charged with a nonviolent felony
8203,defendants charged with a violent felony
8299,defendants charged with an offense of unknown severity
9100,defendants charged with a violent offense
9101,defendants charged with a property offense
9102,defendants charged with a drug offense
9103,defendants charged with DUI offense
9104,defendants charged with a public order offense
9105,defendants charged with a criminal traffic offense
9106,defendants charged with other offense
9199,defendants charged with an offense of unknown
9200,defendants charged with a nonviolent misdemeanor
9201,defendants charged with a violent misdemeanor
9202,defendants charged with a nonviolent felony
9203,defendants charged with a violent felony
9299,defendants charged with an offense of unknown severity
71000,defendants charged with an ordinance / infraction
71001,defendants charged with an unclassified misdemeanor
71002,defendants charged with a class 2 misdemeanor
71003,defendants charged with a class 1 misdemeanor
71004,defendants charged with an unclassified felony
71005,defendants charged with a class 3 felony
71006,defendants charged with a class 2 felony
71007,defendants charged with a class 1 felony
71008,defendants charged with a life felony
71009,defendants charged with a capital felony
71099,defendants charged with an offense of unknown severity
71100,defendants charged with an  infraction
71101,defendants charged with an unclassified misdemeanor
71102,defendants charged with a class 3 misdemeanor
71103,defendants charged with a traffic misdemeanor
71104,defendants charged with a class 2 misdemeanor
71105,defendants charged with a class 1 misdemeanor
71106,defendants charged with a class A1 misdemeanor
71107,defendants charged with an unclassified felony
71108,defendants charged with a class I felony
71109,defendants charged with a class H elony
71110,defendants charged with a class G felony
71111,defendants charged with a class F felony
71112,defendants charged with a class E felony
71113,defendants charged with a class D felony
71114,defendants charged with a class C felony
71115,defendants charged with a class B2 felony
71116,defendants charged with a class B1 felony
71117,defendants charged with a class A felony
71199,defendants charged with an offense of unknown severity
71200,defendants charged with an ordinance / infraction
71201,defendants charged with an unclassified misdemeanor
71202,defendants charged with a summary offense
71203,defendants charged with a class 3 misdemeanor
71204,defendants charged with a class 2 misdemeanor
71205,defendants charged with a class 1 misdemeanor
71206,defendants charged with an unclassified felony
71207,defendants charged with a class 3 felony
71208,defendants charged with a class 2 felony
71209,defendants charged with a class 1 felony
71210,defendants charged with homicide
71299,defendants charged with an offense of unknown severity
71300,defendants charged with an infraction
71301,defendants charged with a class C misdemeanor
71302,defendants charged with a class B misdemeanor
71303,defendants charged with a class A misdemeanor
71304,defendants charged with a class 3 felony
71305,defendants charged with a class 2 felony
71306,defendants charged with a class 1 felony
71307,defendants charged with a capital felony
71399,defendants charged with an offense of unknown severity
71400,defendants charged with an infraction
71401,defendants charged with a misdemeanor
71402,defendants charged with a gross misdemeanor
71403,defendants charged with a class C felony
71404,defendants charged with a class B felony
71405,defendants charged with a class A felony
71499,defendants charged with an offense of unknown severity
71500,defendants charged with an ordinance/forfeiture
71501,defendants charged with an unclassified misdemeanor
71502,defendants charged with a class C misdemeanor
71503,defendants charged with a class B misdemeanor
71504,defendants charged with a class A misdemeanor
71505,defendants charged with an unclassified felony
71506,defendants charged with a class I felony
71507,defendants charged with a class H felony
71508,defendants charged with a class G felony
71509,defendants charged with a class F felony
71510,defendants charged with a class E felony
71511,defendants charged with a class D felony
71512,defendants charged with a class C felony
71513,defendants charged with a class B felony
71514,defendants charged with a class A felony
71599,defendants charged with an offense of unknown severity
71600,defendants charged with an unclassified misdemeanor
71601,defendants charged with a class C misdemeanor
71602,defendants charged with a class B misdemeanor
71603,defendants charged with a class A misdemeanor
71604,defendants charged with an unclassified felony
71605,defendants charged with a class D felony
71606,defendants charged with a class C felony
71607,defendants charged with a class B felony
71608,defendants charged with a class A felony
71609,defendants charged with a class Y felony
71699,defendants charged with an offense of unknown severity
71700,defendants charged with an offense of infraction
71701,defendants charged with an offense of unclassified petty offense
71702,defendants charged with an offense of unclassified misdemeanor
71703,defendants charged with an offense of class C misdemeanor
71704,defendants charged with an offense of class B misdemeanor
71705,defendants charged with an offense of class A misdemeanor
71706,defendants charged with an offense of unclassified felony
71707,defendants charged with an offense of class 4 felony
71708,defendants charged with an offense of class 3 felony
71709,defendants charged with an offense of class 2 felony
71710,defendants charged with an offense of class 1 felony
71711,defendants charged with an offense of class X felony
71712,defendants charged with an offense of class M felony
71799,defendants charged with an offense of unknown severity
71800,defendants with no drug charges
71801,defendants with drug paraphernalia related charges
71802,defendants with other/unspecified drug offense charges
71803,defendants with possession/use of unspecified drug charges
71804,defendants with marijuana possession/use charges
71805,defendants with other drug possession/use charges
71806,defendants with other prescription drug possession/use charges
71807,defendants with opioid drug possession/use charges
71808,defendants with cocaine possession/use charges
71809,defendants with amphetamine possession/use charges
71810,defendants with heroin possession/use charges
71811,defendants with distribution of unspecified drug charges
71812,defendants with marijuana distribution charges
71813,defendants with other drug distribution charges
71814,defendants with other prescription drug distribution charges
71815,defendants with opioid drug distribution charges
71816,defendants with cocaine distribution charges
71817,defendants with amphetamine distribution charges
71818,defendants with heroin distribution charges
71899,defendants with unknown charges
81000,defendants charged with an ordinance / infraction
81001,defendants charged with an unclassified misdemeanor
81002,defendants charged with a class 2 misdemeanor
81003,defendants charged with a class 1 misdemeanor
81004,defendants charged with an unclassified felony
81005,defendants charged with a class 3 felony
81006,defendants charged with a class 2 felony
81007,defendants charged with a class 1 felony
81008,defendants charged with a life felony
81009,defendants charged with a capital felony
81099,defendants charged with an offense of unknown severity
81100,defendants charged with an  infraction
81101,defendants charged with an unclassified misdemeanor
81102,defendants charged with a class 3 misdemeanor
81103,defendants charged with a traffic misdemeanor
81104,defendants charged with a class 2 misdemeanor
81105,defendants charged with a class 1 misdemeanor
81106,defendants charged with a class A1 misdemeanor
81107,defendants charged with an unclassified felony
81108,defendants charged with a class I felony
81109,defendants charged with a class H elony
81110,defendants charged with a class G felony
81111,defendants charged with a class F felony
81112,defendants charged with a class E felony
81113,defendants charged with a class D felony
81114,defendants charged with a class C felony
81115,defendants charged with a class B2 felony
81116,defendants charged with a class B1 felony
81117,defendants charged with a class A felony
81199,defendants charged with an offense of unknown severity
81200,defendants charged with an ordinance / infraction
81201,defendants charged with an unclassified misdemeanor
81202,defendants charged with a summary offense
81203,defendants charged with a class 3 misdemeanor
81204,defendants charged with a class 2 misdemeanor
81205,defendants charged with a class 1 misdemeanor
81206,defendants charged with an unclassified felony
81207,defendants charged with a class 3 felony
81208,defendants charged with a class 2 felony
81209,defendants charged with a class 1 felony
81210,defendants charged with homicide
81299,defendants charged with an offense of unknown severity
81300,defendants charged with an infraction
81301,defendants charged with a class C misdemeanor
81302,defendants charged with a class B misdemeanor
81303,defendants charged with a class A misdemeanor
81304,defendants charged with a class 3 felony
81305,defendants charged with a class 2 felony
81306,defendants charged with a class 1 felony
81307,defendants charged with a capital felony
81399,defendants charged with an offense of unknown severity
81400,defendants charged with an infraction
81401,defendants charged with a misdemeanor
81402,defendants charged with a gross misdemeanor
81403,defendants charged with a class C felony
81404,defendants charged with a class B felony
81405,defendants charged with a class A felony
81499,defendants charged with an offense of unknown severity
81500,defendants charged with an ordinance/forfeiture
81501,defendants charged with an unclassified misdemeanor
81502,defendants charged with a class C misdemeanor
81503,defendants charged with a class B misdemeanor
81504,defendants charged with a class A misdemeanor
81505,defendants charged with an unclassified felony
81506,defendants charged with a class I felony
81507,defendants charged with a class H felony
81508,defendants charged with a class G felony
81509,defendants charged with a class F felony
81510,defendants charged with a class E felony
81511,defendants charged with a class D felony
81512,defendants charged with a class C felony
81513,defendants charged with a class B felony
81514,defendants charged with a class A felony
81599,defendants charged with an offense of unknown severity
81600,defendants charged with an unclassified misdemeanor
81601,defendants charged with a class C misdemeanor
81602,defendants charged with a class B misdemeanor
81603,defendants charged with a class A misdemeanor
81604,defendants charged with an unclassified felony
81605,defendants charged with a class D felony
81606,defendants charged with a class C felony
81607,defendants charged with a class B felony
81608,defendants charged with a class A felony
81609,defendants charged with a class Y felony
81699,defendants charged with an offense of unknown severity
81700,defendants charged with an offense of infraction
81701,defendants charged with an offense of unclassified petty offense
81702,defendants charged with an offense of unclassified misdemeanor
81703,defendants charged with an offense of class C misdemeanor
81704,defendants charged with an offense of class B misdemeanor
81705,defendants charged with an offense of class A misdemeanor
81706,defendants charged with an offense of unclassified felony
81707,defendants charged with an offense of class 4 felony
81708,defendants charged with an offense of class 3 felony
81709,defendants charged with an offense of class 2 felony
81710,defendants charged with an offense of class 1 felony
81711,defendants charged with an offense of class X felony
81712,defendants charged with an offense of class M felony
81799,defendants charged with an offense of unknown severity
81800,defendants with no drug charges
81801,defendants with drug paraphernalia related charges
81802,defendants with other/unspecified drug offense charges
81803,defendants with possession/use of unspecified drug charges
81804,defendants with marijuana possession/use charges
81805,defendants with other drug possession/use charges
81806,defendants with other prescription drug possession/use charges
81807,defendants with opioid drug possession/use charges
81808,defendants with cocaine possession/use charges
81809,defendants with amphetamine possession/use charges
81810,defendants with heroin possession/use charges
81811,defendants with distribution of unspecified drug charges
81812,defendants with marijuana distribution charges
81813,defendants with other drug distribution charges
81814,defendants with other prescription drug distribution charges
81815,defendants with opioid drug distribution charges
81816,defendants with cocaine distribution charges
81817,defendants with amphetamine distribution charges
81818,defendants with heroin distribution charges
81899,defendants with unknown charges
91000,defendants charged with an ordinance / infraction
91001,defendants charged with an unclassified misdemeanor
91002,defendants charged with a class 2 misdemeanor
91003,defendants charged with a class 1 misdemeanor
91004,defendants charged with an unclassified felony
91005,defendants charged with a class 3 felony
91006,defendants charged with a class 2 felony
91007,defendants charged with a class 1 felony
91008,defendants charged with a life felony
91009,defendants charged with a capital felony
91099,defendants charged with an offense of unknown severity
91100,defendants charged with an  infraction
91101,defendants charged with an unclassified misdemeanor
91102,defendants charged with a class 3 misdemeanor
91103,defendants charged with a traffic misdemeanor
91104,defendants charged with a class 2 misdemeanor
91105,defendants charged with a class 1 misdemeanor
91106,defendants charged with a class A1 misdemeanor
91107,defendants charged with an unclassified felony
91108,defendants charged with a class I felony
91109,defendants charged with a class H elony
91110,defendants charged with a class G felony
91111,defendants charged with a class F felony
91112,defendants charged with a class E felony
91113,defendants charged with a class D felony
91114,defendants charged with a class C felony
91115,defendants charged with a class B2 felony
91116,defendants charged with a class B1 felony
91117,defendants charged with a class A felony
91199,defendants charged with an offense of unknown severity
91200,defendants charged with an ordinance / infraction
91201,defendants charged with an unclassified misdemeanor
91202,defendants charged with a summary offense
91203,defendants charged with a class 3 misdemeanor
91204,defendants charged with a class 2 misdemeanor
91205,defendants charged with a class 1 misdemeanor
91206,defendants charged with an unclassified felony
91207,defendants charged with a class 3 felony
91208,defendants charged with a class 2 felony
91209,defendants charged with a class 1 felony
91210,defendants charged with homicide
91299,defendants charged with an offense of unknown severity
91300,defendants charged with an infraction
91301,defendants charged with a class C misdemeanor
91302,defendants charged with a class B misdemeanor
91303,defendants charged with a class A misdemeanor
91304,defendants charged with a class 3 felony
91305,defendants charged with a class 2 felony
91306,defendants charged with a class 1 felony
91307,defendants charged with a capital felony
91399,defendants charged with an offense of unknown severity
91400,defendants charged with an infraction
91401,defendants charged with a misdemeanor
91402,defendants charged with a gross misdemeanor
91403,defendants charged with a class C felony
91404,defendants charged with a class B felony
91405,defendants charged with a class A felony
91499,defendants charged with an offense of unknown severity
91500,defendants charged with an ordinance/forfeiture
91501,defendants charged with an unclassified misdemeanor
91502,defendants charged with a class C misdemeanor
91503,defendants charged with a class B misdemeanor
91504,defendants charged with a class A misdemeanor
91505,defendants charged with an unclassified felony
91506,defendants charged with a class I felony
91507,defendants charged with a class H felony
91508,defendants charged with a class G felony
91509,defendants charged with a class F felony
91510,defendants charged with a class E felony
91511,defendants charged with a class D felony
91512,defendants charged with a class C felony
91513,defendants charged with a class B felony
91514,defendants charged with a class A felony
91599,defendants charged with an offense of unknown severity
91600,defendants charged with an unclassified misdemeanor
91601,defendants charged with a class C misdemeanor
91602,defendants charged with a class B misdemeanor
91603,defendants charged with a class A misdemeanor
91604,defendants charged with an unclassified felony
91605,defendants charged with a class D felony
91606,defendants charged with a class C felony
91607,defendants charged with a class B felony
91608,defendants charged with a class A felony
91609,defendants charged with a class Y felony
91699,defendants charged with an offense of unknown severity
91700,defendants charged with an offense of infraction
91701,defendants charged with an offense of unclassified petty offense
91702,defendants charged with an offense of unclassified misdemeanor
91703,defendants charged with an offense of class C misdemeanor
91704,defendants charged with an offense of class B misdemeanor
91705,defendants charged with an offense of class A misdemeanor
91706,defendants charged with an offense of unclassified felony
91707,defendants charged with an offense of class 4 felony
91708,defendants charged with an offense of class 3 felony
91709,defendants charged with an offense of class 2 felony
91710,defendants charged with an offense of class 1 felony
91711,defendants charged with an offense of class X felony
91712,defendants charged with an offense of class M felony
91799,defendants charged with an offense of unknown severity
91808,defendants with cocaine possession/use charges
91809,defendants with amphetamine possession/use charges
91810,defendants with heroin possession/use charges
91811,defendants with distribution of unspecified drug charges
91812,defendants with marijuana distribution charges
91813,defendants with other drug distribution charges
91814,defendants with other prescription drug distribution charges
91815,defendants with opioid drug distribution charges
91816,defendants with cocaine distribution charges
91817,defendants with amphetamine distribution charges
91818,defendants with heroin distribution charges
91899,defendants with unknown charges
91900,defendants charged with an offense of infraction
